file_path,filehash
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\mogra - Copy (2).txt,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\my-directory-list.jpg,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\rose.jpg,742e5c0b00880f079d30d9e3e08fff67
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\mogra - 1.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\mogra - 2.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\mogra - Copy - 1.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\mogra - Copy - 2.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\mogra - Copy - 3.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\my-directory-list.txt,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\rose - 1.jpg,742e5c0b00880f079d30d9e3e08fff67
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\duplicates\sunflower - 1.jpg,0aec550952805e4d25e109a67187d782
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\folder 01\my-directory-list.txt,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\folder 01\sunflower.jpg,0aec550952805e4d25e109a67187d782
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\folder 02\mogra - 1.jpg,be84ddeea613252f29ddac1758a649e8
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\folder 02\my-directory-list.txt,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_094653.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_110513.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_115405.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_115925.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_155152.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_155938.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210402_161905.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210403_140729.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210405_213425.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210405_213612.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210405_213913.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210405_214037.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\20210405_214037.log,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\my-directory-list.txt,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\protagonist.csv,not_an_image_or_video
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\logs\Test Cases.xlsx,not_an_image_or_video
